Electricity
Time,p_usage
17.09.2022 00:00,0.006597586759187272,
17.09.2022 00:05,0.00661995659909826,
17.09.2022 00:10,0.006705402188545195,
17.09.2022 00:15,0.006677975582651315,
17.09.2022 00:20,0.0066393902478637966,
17.09.2022 00:25,0.0063913976196429655,
17.09.2022 00:30,0.006645607640576581,
17.09.2022 00:35,0.006405149237933573,
17.09.2022 00:40,0.0068220376448071985,
17.09.2022 00:45,0.006862689754563396,
17.09.2022 00:50,0.006626364639841998,
17.09.2022 00:55,0.00694325330905548,
17.09.2022 01:00,0.006892721959854402,
17.09.2022 01:05,0.0072236028660602174,
17.09.2022 01:10,0.006868384389959977,
17.09.2022 01:15,0.0067290273937908535,
17.09.2022 01:20,0.006666578933193049,
17.09.2022 01:25,0.006250918578352401,
17.09.2022 01:30,0.006412286169847584,
17.09.2022 01:35,0.006373210915696638,
17.09.2022 01:40,0.006514378316762396,
17.09.2022 01:45,0.006690869159685007,
17.09.2022 01:50,0.0060924827736862815,
17.09.2022 01:55,0.006218109073525465,
17.09.2022 02:00,0.0065215046348578035,
17.09.2022 02:05,0.006708419671916938,
17.09.2022 02:10,0.00683404975778906,
17.09.2022 02:15,0.006278053739126749,
17.09.2022 02:20,0.006786658652715381,
17.09.2022 02:25,0.006751332331559047,
17.09.2022 02:30,0.006501478532113456,
17.09.2022 02:35,0.006612494242642,
17.09.2022 02:40,0.006983213208826801,
17.09.2022 02:45,0.007060952246826352,
17.09.2022 02:50,0.006326793550584791,
17.09.2022 02:55,0.006815734850702031,
17.09.2022 03:00,0.006525319562871235,
17.09.2022 03:05,0.0072791389938507275,
17.09.2022 03:10,0.007015167171527146,
17.09.2022 03:15,0.006715169524540576,
17.09.2022 03:20,0.006926294301266195,
17.09.2022 03:25,0.0066553249476301105,
17.09.2022 03:30,0.007186115774407189,
17.09.2022 03:35,0.006961857487533851,
17.09.2022 03:40,0.006996079732530189,
17.09.2022 03:45,0.006379565346339078,
17.09.2022 03:50,0.007113321186128803,
17.09.2022 03:55,0.006986845523944813,
17.09.2022 04:00,0.006850101442836779,
17.09.2022 04:05,0.006961740872453843,
17.09.2022 04:10,0.006717588355234022,
17.09.2022 04:15,0.00695718478978052,
17.09.2022 04:20,0.006624777819658207,
17.09.2022 04:25,0.006722597877847185,
17.09.2022 04:30,0.00643328120962818,
17.09.2022 04:35,0.00711780423632618,
17.09.2022 04:40,0.006783810376182943,
17.09.2022 04:45,0.005937428975922931,
17.09.2022 04:50,0.006363431389644073,
17.09.2022 04:55,0.0071658357791940215,
17.09.2022 05:00,0.00706338497196115,
17.09.2022 05:05,0.007124196959864591,
17.09.2022 05:10,0.006802605127882345,
17.09.2022 05:15,0.006805063847402532,
17.09.2022 05:20,0.006664122453656283,
17.09.2022 05:25,0.006268918530695719,
17.09.2022 05:30,0.006558595661042969,
17.09.2022 05:35,0.006704691216467481,
17.09.2022 05:40,0.006908128822632153,
17.09.2022 05:45,0.006171982220604787,
17.09.2022 05:50,0.006496407229518833,
17.09.2022 05:55,0.006741217144626361,
17.09.2022 06:00,0.012373003235961605,
17.09.2022 06:05,0.014104685679772813,
17.09.2022 06:10,0.013855725821655836,
17.09.2022 06:15,0.013444213147070781,
17.09.2022 06:20,0.01397756410075501,
17.09.2022 06:25,0.013743846037693522,
17.09.2022 06:30,0.01276439345244365,
17.09.2022 06:35,0.012860210769094388,
17.09.2022 06:40,0.01267611848295426,
17.09.2022 06:45,0.013089829877028109,
17.09.2022 06:50,0.013429831900025576,
17.09.2022 06:55,0.013807636088297277,
17.09.2022 07:00,0.013420270760370268,
17.09.2022 07:05,0.013502897319052444,
17.09.2022 07:10,0.013627511406868393,
17.09.2022 07:15,0.012723435909065425,
17.09.2022 07:20,0.013102571717711788,
17.09.2022 07:25,0.012956384207344518,
17.09.2022 07:30,0.013934208623287314,
17.09.2022 07:35,0.013968131478313847,
17.09.2022 07:40,0.013241419065954312,
17.09.2022 07:45,0.01278299239089496,
17.09.2022 07:50,0.01350854865008685,
17.09.2022 07:55,0.013460028989701165,
17.09.2022 08:00,0.013778675019422116,
17.09.2022 08:05,0.013261585568600449,
17.09.2022 08:10,0.013083682600484932,
17.09.2022 08:15,0.013037696252650529,
17.09.2022 08:20,0.013812525520359624,
17.09.2022 08:25,0.01336417618133538,
17.09.2022 08:30,0.013098192731037324,
17.09.2022 08:35,0.013763541365373956,
17.09.2022 08:40,0.01397857384282595,
17.09.2022 08:45,0.012830361115352174,
17.09.2022 08:50,0.013412289409037558,
17.09.2022 08:55,0.013245785695626896,
17.09.2022 09:00,0.01323073176829306,
17.09.2022 09:05,0.014094628923935246,
17.09.2022 09:10,0.013351942850328523,
17.09.2022 09:15,0.013812836995318557,
17.09.2022 09:20,0.012664713649141162,
17.09.2022 09:25,0.012734714443822605,
17.09.2022 09:30,0.01329726355204091,
17.09.2022 09:35,0.013792158921570897,
17.09.2022 09:40,0.012470484882050518,
17.09.2022 09:45,0.013448626725096308,
17.09.2022 09:50,0.012553672042004964,
17.09.2022 09:55,0.013639643931316895,
17.09.2022 10:00,0.013467409093297753,
17.09.2022 10:05,0.013662559029966668,
17.09.2022 10:10,0.013611045257061666,
17.09.2022 10:15,0.01373958251134603,
17.09.2022 10:20,0.013444360647458794,
17.09.2022 10:25,0.014165589743961279,
17.09.2022 10:30,0.01365445938209728,
17.09.2022 10:35,0.01337449929099941,
17.09.2022 10:40,0.013363192189174675,
17.09.2022 10:45,0.012973608190955685,
17.09.2022 10:50,0.013409780836668052,
17.09.2022 10:55,0.013412595549850189,
